t;x1;x2;M1;M2
0.000;0.136;0.000;0.000;2
0.033;0.122;0.000;0;0
0.067;0.111;0.000;0;0
0.100;0.096;0.000;0;0
0.133;0.085;0.000;0;0
0.167;0.073;-0.002;0;0
0.200;0.065;-0.005;0;0
0.233;0.060;-0.013;0;0
0.267;0.060;-0.023;0;0
0.300;0.060;-0.036;0;0
0.333;0.060;-0.047;0;0
0.367;0.062;-0.059;0;0
0.400;0.060;-0.072;0;0
