t;x1;x2;M1;M2
0;0.149;-0.002;2;0
0.033;0.136;-0.002;0;0
0.067;0.121;-0.002;0;0
0.1;0.104;-0.002;0;0
0.133;0.09;-0.002;0;0
0.167;0.077;-0.003;0;0
0.2;0.064;-0.005;0;0
0.233;0.056;-0.015;0;0
0.267;0.052;-0.026;0;0
0.3;0.052;-0.039;0;0
0.333;0.051;-0.056;0;0
0.367;0.051;-0.07;0;0
0.4;0.0489796;-0.085;0;0
