t;x1;x2;M1;M2
0.000;0.244;0.000;0;3
0.033;0.226;0.000;0;0
0.067;0.208;0.000;0;0
0.100;0.190;0.000;0;0
0.133;0.172;0.000;0;0
0.167;0.154;0.000;0;0
0.200;0.136;0.000;0;0
0.233;0.118;0.000;0;0
0.267;0.100;0.000;0;0
0.300;0.082;0.000;0;0
0.333;0.065;0.000;0;0
0.367;0.056;-0.005;0;0
0.400;0.057;-0.016;0;0
0.433;0.064;-0.029;0;0
0.467;0.069;-0.041;0;0
0.500;0.074;-0.052;0;0
0.533;0.082;-0.065;0;0
0.567;0.087;-0.077;0;0
0.600;0.092;-0.088;0;0
0.633;0.097;-0.101;0;0
0.667;0.105;-0.113;0;0
0.700;0.110;-0.124;0;0
