t;x1;x2;M1;M2
0.000;0.218;0.002;0;2
0.033;0.204;0.002;0;0
0.067;0.191;0.002;0;0
0.100;0.176;0.002;0;0
0.133;0.163;0.002;0;0
0.167;0.149;0.002;0;0
0.200;0.135;0.002;0;0
0.233;0.123;0.002;0;0
0.267;0.108;0.002;0;0
0.300;0.095;0.002;0;0
0.333;0.083;0.002;0;0
0.367;0.071;-0.002;0;0
0.400;0.065;-0.008;0;0
0.433;0.060;-0.017;0;0
0.467;0.060;-0.030;0;0
0.500;0.061;-0.042;0;0
0.533;0.061;-0.053;0;0
0.567;0.065;-0.066;0;0
0.600;0.063;-0.080;0;0
0.633;0.066;-0.091;0;0
0.667;0.066;-0.105;0;0
0.700;0.068;-0.118;0;0
0.733;0.066;-0.130;0;0
0.767;0.070;-0.141;0;0
0.800;0.068;-0.154;0;0
0.833;0.071;-0.166;0;0
0.867;0.070;-0.178;0;0
0.900;0.073;-0.189;0;0
0.933;0.071;-0.203;0;0
