t;x1;x2;M1;M2
0.000;0.145;0.000;4;0
0.033;0.131;-0.002;0;0
0.067;0.114;0.000;0;0
0.100;0.100;-0.002;0;0
0.133;0.087;-0.002;0;0
0.167;0.072;-0.003;0;0
0.200;0.059;-0.008;0;0
0.233;0.052;-0.018;0;0
0.267;0.046;-0.036;0;0
0.300;0.042;-0.052;0;0
0.333;0.038;-0.070;0;0
0.367;0.033;-0.088;0;0
0.400;0.028;-0.106;0;0
