t;x1;x2;M1;M2
0;0.133;0.002;3;0
0.033;0.123;0.002;0;0
0.067;0.113;0.002;0;0
0.1;0.106;0.002;0;0
0.133;0.097;0.002;0;0
0.167;0.088;0;0;0
0.2;0.08;0;0;0
0.233;0.072;-0.003;0;0
0.267;0.065;-0.008;0;0
0.3;0.061;-0.016;0;0
0.333;0.057;-0.026;0;0
0.367;0.054;-0.036;0;0
0.4;0.0523517;-0.049;0;0
0.433;0.049;-0.059;0;0
