t;x1;x2;M1;M2
0.000;0.207;0.002;4;0
0.033;0.196;0.002;0;0
0.067;0.182;0.002;0;0
0.100;0.172;0.002;0;0
0.133;0.159;0.002;0;0
0.167;0.146;0.002;0;0
0.200;0.134;0.002;0;0
0.233;0.121;0.002;0;0
0.267;0.109;0.002;0;0
0.300;0.098;0.002;0;0
0.333;0.085;0.000;0;0
0.367;0.075;-0.002;0;0
0.400;0.065;-0.007;0;0
0.433;0.058;-0.015;0;0
0.467;0.053;-0.028;0;0
0.500;0.048;-0.045;0;0
0.533;0.045;-0.061;0;0
0.567;0.038;-0.076;0;0
0.600;0.036;-0.091;0;0
0.633;0.033;-0.108;0;0
0.667;0.030;-0.121;0;0
0.700;0.027;-0.138;0;0
0.733;0.022;-0.152;0;0
0.767;0.020;-0.167;0;0
0.800;0.013;-0.184;0;0
0.833;0.010;-0.197;0;0
0.867;0.007;-0.212;0;0
