t (min),t (s),T (°C)
0,0,21.0
1,60,21.5
2,120,22.1
3,180,22.6
4,240,23.1
5,300,23.7
6,360,24.2
7,420,24.7
8,480,25.2
9,540,25.8
10,600,26.2
11,660,26.8
12,720,27.3
13,780,27.9
14,840,28.3
15,900,28.8
