t (min),t (s),T (°C)
0,0,20.9
1,60,21.8
2,120,22.7
3,180,23.6
4,240,24.7
5,300,25.4
6,360,26.3
7,420,27.2
8,480,28.0
9,540,29.0
10,600,29.8
11,660,30.7
12,720,31.5
13,780,32.3
14,840,33.2
15,900,34.0
