t (min),t (s),T (°C)
0,0,21.1
1,60,21.8
2,120,22.0
3,180,22.3
4,240,22.5
5,300,22.7
6,360,22.9
7,420,23.2
8,480,23.4
9,540,23.6
10,600,23.8
11,660,24.1
12,720,24.3
13,780,24.5
14,840,24.7
15,900,24.9
