time(s),volt(V),
-193.20000138E-6,15.1999998,
-192.79999833E-6,15.2799997,
-192.39999529E-6,14.9600000,
-191.99999224E-6,15.1199999,
-191.59998919E-6,15.0400000,
-191.20000070E-6,15.1999998,
-190.79999765E-6,15.1999998,
-190.39999461E-6,15.1999998,
-189.99999156E-6,15.1199999,
-189.59998852E-6,15.0400000,
-189.20000002E-6,15.1199999,
-188.79999698E-6,15.1199999,
-188.39999393E-6,15.0400000,
-187.99999089E-6,15.2799997,
-187.59998784E-6,15.0400000,
-187.19999935E-6,15.1199999,
-186.79999630E-6,15.0400000,
-186.39999325E-6,15.1199999,
-185.99999021E-6,15.1999998,
-185.60000171E-6,15.1199999,
-185.19999867E-6,15.1999998,
-184.79999562E-6,15.1999998,
-184.39999258E-6,15.1999998,
-183.99998953E-6,15.1999998,
-183.60000104E-6,15.1199999,
-183.19999799E-6,15.1199999,
-182.79999495E-6,15.1199999,
-182.39999190E-6,15.1199999,
-181.99998885E-6,15.1199999,
-181.60000036E-6,15.1199999,
-181.19999731E-6,15.1199999,
-180.79999427E-6,15.1199999,
-180.39999122E-6,15.1199999,
-179.99998818E-6,15.2799997,
-179.59999968E-6,15.1999998,
-179.19999664E-6,15.1199999,
-178.79999359E-6,15.1999998,
-178.39999055E-6,14.9600000,
-177.99998750E-6,15.1199999,
-177.59999901E-6,15.1199999,
-177.19999596E-6,15.1199999,
-176.79999291E-6,15.1199999,
-176.39998987E-6,15.1199999,
-176.00000137E-6,15.1199999,
-175.59999833E-6,15.1999998,
-175.19999528E-6,15.1199999,
-174.79999224E-6,15.1999998,
-174.39998919E-6,15.1199999,
-174.00000070E-6,15.1199999,
-173.59999765E-6,15.1199999,
-173.19999461E-6,15.1999998,
-172.79999156E-6,15.0400000,
-172.39998851E-6,15.1199999,
-172.00000002E-6,15.1999998,
-171.59999697E-6,15.1199999,
-171.19999393E-6,15.1999998,
-170.79999088E-6,15.0400000,
-170.39998784E-6,15.1199999,
-169.99999934E-6,15.1999998,
-169.59999630E-6,15.2799997,
-169.19999325E-6,14.9600000,
-168.79999021E-6,15.1199999,
-168.40000171E-6,15.1999998,
-167.99999867E-6,15.2799997,
-167.59999562E-6,15.0400000,
-167.19999257E-6,15.1199999,
-166.79998953E-6,15.1199999,
-166.40000104E-6,15.1199999,
-165.99999799E-6,15.1199999,
-165.59999494E-6,15.1199999,
-165.19999190E-6,15.1199999,
-164.79998885E-6,15.1199999,
-164.40000036E-6,14.9600000,
-163.99999731E-6,15.0400000,
-163.59999427E-6,15.1999998,
-163.19999122E-6,15.1199999,
-162.79998817E-6,15.0400000,
-162.39999968E-6,15.0400000,
-161.99999664E-6,15.1199999,
-161.59999359E-6,15.1999998,
-161.19999054E-6,15.1999998,
-160.79998750E-6,15.1199999,
-160.39999900E-6,15.1999998,
-159.99999596E-6,15.1199999,
-159.59999291E-6,15.0400000,
-159.19998987E-6,15.1199999,
-158.80000137E-6,15.1199999,
-158.39999833E-6,15.1999998,
-157.99999528E-6,15.1999998,
-157.59999224E-6,14.9600000,
-157.19998919E-6,15.0400000,
-156.80000070E-6,15.1199999,
-156.39999765E-6,15.1199999,
-155.99999460E-6,15.1199999,
-155.59999156E-6,15.0400000,
-155.19998851E-6,15.0400000,
-154.80000002E-6,15.1999998,
-154.39999697E-6,15.1999998,
-153.99999393E-6,15.1199999,
-153.59999088E-6,15.1999998,
-153.19998784E-6,15.1999998,
-152.79999934E-6,15.0400000,
-152.39999630E-6,15.1199999,
-151.99999325E-6,15.0400000,
-151.59999020E-6,15.1199999,
-151.19998716E-6,15.1199999,
-150.79999866E-6,15.1199999,
-150.39999562E-6,15.0400000,
-149.99999257E-6,15.0400000,
-149.59998953E-6,15.1199999,
-149.20000103E-6,15.1199999,
-148.79999799E-6,15.0400000,
-148.3999949E-6,15.1199999,
-147.9999919E-6,15.0400000,
-147.5999888E-6,15.1999998,
-147.2000004E-6,15.1199999,
-146.7999973E-6,15.1199999,
-146.3999943E-6,15.1999998,
-145.9999912E-6,15.1199999,
-145.5999882E-6,15.1999998,
-145.1999997E-6,15.1199999,
