time(s),volt(V),
-222.99999546E-6,15.0400000,
-221.99998784E-6,15.0400000,
-220.99999478E-6,15.0400000,
-219.99998717E-6,15.0400000,
-218.99999410E-6,15.0400000,
-218.00000104E-6,15.0400000,
-216.99999343E-6,15.0400000,
-216.00000036E-6,15.0400000,
-214.99999275E-6,15.0400000,
-213.99999969E-6,15.0400000,
-212.99999207E-6,15.0400000,
-211.99999901E-6,15.0400000,
-210.99999140E-6,15.0400000,
-209.99999833E-6,15.0400000,
-208.99999072E-6,15.0400000,
-207.99999766E-6,15.0400000,
-206.99999004E-6,15.0400000,
-205.99999698E-6,15.0400000,
-204.99998936E-6,15.0400000,
-203.99999630E-6,15.0400000,
-202.99998869E-6,15.0400000,
-201.99999562E-6,15.0400000,
-200.99998801E-6,15.0400000,
-199.99999495E-6,15.0400000,
-198.99998733E-6,15.0400000,
-197.99999427E-6,15.0400000,
-197.00000121E-6,15.0400000,
-195.99999359E-6,15.0400000,
-195.00000053E-6,15.0400000,
-193.99999292E-6,15.0400000,
-192.99999985E-6,15.0400000,
-191.99999224E-6,15.0400000,
-190.99999918E-6,15.0400000,
-189.99999156E-6,15.0400000,
-188.99999850E-6,15.0400000,
-187.99999089E-6,15.0400000,
-186.99999782E-6,15.0400000,
-185.99999021E-6,15.0400000,
-184.99999715E-6,15.0400000,
-183.99998953E-6,15.0400000,
-182.99999647E-6,15.0400000,
-181.99998885E-6,15.0400000,
-180.99999579E-6,15.0400000,
-179.99998818E-6,15.0400000,
-178.99999511E-6,15.0400000,
-177.99998750E-6,15.0400000,
-176.99999444E-6,15.0400000,
-176.00000137E-6,15.0400000,
-174.99999376E-6,15.0400000,
-174.00000070E-6,15.0400000,
-172.99999308E-6,15.0400000,
-172.00000002E-6,15.0400000,
-170.99999241E-6,15.0400000,
-169.99999934E-6,15.0400000,
-168.99999173E-6,15.0400000,
-167.99999867E-6,15.0400000,
-166.99999105E-6,15.0400000,
-165.99999799E-6,15.0400000,
-164.99999037E-6,15.0400000,
-163.99999731E-6,15.0400000,
-162.99998970E-6,15.0400000,
-161.99999664E-6,15.0400000,
-160.99998902E-6,15.0400000,
-159.99999596E-6,15.0400000,
-158.99998834E-6,15.0400000,
