Pression (hPa);Incertitude pression (Pa);Température (°C);Température (K)
1132;1;62;335.15
1129;1;61;334.15
1126;1;60;333.15
1122;1;59;332.15
1119;1;58;331.15
1115;1;57;330.15
1111;1;56;329.15
1109;1;55;328.15
1105;1;54;327.15
1101;1;52.9;326.05
1099;1;52;325.15
1095;1;51;324.15
1092;1;50;323.15
