nu;U1;U2;delta_t;T;Dephasage;i;e/i
499.740;4.720;0.272;510.000;2001.040541;91.752264;0.0944;2.881355932
1500.700;4.520;0.830;172.000;666.3557007;92.923344;0.0904;9.181415929
3008.900;3.800;1.400;84.000;332.3473695;90.989136;0.076;18.42105263
5000.000;3.040;1.800;51.000;200;91.8;0.0608;29.60526316
6507.900;2.480;1.960;38.000;153.6593986;89.028072;0.0496;39.51612903
8009.700;2.140;2.070;32.000;124.848621;92.271744;0.0428;48.36448598
10006.000;1.780;2.220;26.000;99.94003598;93.65616;0.0356;62.35955056
