Intensite (mT);Distance (cm)
1.67;0
1.64;2
1.56;4
1.48;6
1.37;8
1.24;10
1.11;12
0.99;14
0.85;16
0.74;18
0.64;20
0.43;25
0.30;30
0.2;35
0.15;40
0.10;45
1.67;-2
1.63;-4
1.56;-6
1.46;-8
1.34;-10
1.20;-12
1.07;-14
0.95;-16
0.81;-18
0.71;-20
0.48;-25
0.34;-30
0.23;-35
0.17;-40
0.12;-45
0.09;-50
0.07;-55
0.05;-60
0.03;-65
0.03;-60
